     51/99     3.19G   0.03429  0.009685         0   0.04398         5       640    0.6567    0.5409    0.5587    0.3069    0.0667    0.0171         0
     52/99     3.19G   0.03414  0.009388         0   0.04352        15       640    0.7605    0.4906    0.5804     0.325   0.06708   0.01669         0
     53/99     3.19G   0.03321   0.00953         0   0.04274         7       640    0.7546     0.545    0.6245    0.3403    0.0644   0.01673         0
     54/99     3.19G   0.03465  0.009278         0   0.04392        12       640    0.6606    0.6409      0.64    0.3538   0.06341   0.01656         0
     55/99     3.19G   0.02988  0.009179         0   0.03905         9       640    0.7701    0.5636    0.6245    0.3325   0.06376   0.01661         0
     56/99     3.19G   0.03194  0.008804         0   0.04074        11       640    0.7466    0.5818    0.6353    0.3372   0.06396    0.0166         0
     57/99     3.19G   0.02868  0.008299         0   0.03698        22       640    0.7219    0.6136    0.6601    0.3476   0.06312   0.01648         0
     58/99     3.19G   0.03173    0.0101         0   0.04183        11       640    0.7212       0.6    0.6539    0.3599   0.06292   0.01642         0
     59/99     3.19G   0.03025  0.009063         0   0.03932        12       640    0.6963    0.6045    0.6377    0.3559   0.06336   0.01652         0
     60/99     3.19G   0.03104  0.008629         0   0.03967         8       640    0.7679    0.5773    0.6431    0.3653   0.06303   0.01622         0
     61/99     3.19G   0.03168  0.008339         0   0.04002         6       640     0.695    0.5909    0.6409     0.364   0.06268   0.01621         0
     62/99     3.19G   0.03201  0.009347         0   0.04136        10       640    0.7471    0.5773    0.6624    0.3705   0.06126   0.01642         0
     63/99     3.19G   0.03108  0.008777         0   0.03986         6       640    0.8285    0.5273    0.6514    0.3619   0.06172   0.01666         0
     64/99     3.19G   0.02948  0.009034         0   0.03851        13       640    0.8025    0.5591    0.6518    0.3597   0.06282   0.01676         0
     65/99     3.19G   0.03012    0.0081         0   0.03822         3       640    0.7731    0.6045    0.6698    0.3711   0.06223   0.01664         0
     66/99     3.19G   0.02927  0.008743         0   0.03801         7       640    0.7552    0.5909      0.66    0.3703   0.06192   0.01661         0
     67/99     3.19G   0.03147  0.008942         0   0.04042         5       640      0.88    0.5727    0.7008    0.3933   0.06135   0.01649         0
     68/99     3.19G   0.02995  0.008899         0   0.03885         4       640    0.7173    0.6818    0.6985    0.4002   0.06115   0.01668         0
     69/99     3.19G   0.02984  0.008986         0   0.03882         9       640    0.7775    0.6682    0.6942    0.3845    0.0612   0.01683         0
     70/99     3.19G   0.03292  0.009094         0   0.04201         5       640    0.7405    0.6364     0.671    0.3775   0.06141   0.01684         0
     71/99     3.19G    0.0306  0.008945         0   0.03955        13       640    0.7816    0.6181    0.6694    0.3738   0.06108   0.01689         0
     72/99     3.19G   0.02907  0.008474         0   0.03754         9       640    0.8495    0.5903    0.6881    0.3782   0.06035   0.01697         0
     73/99     3.19G   0.03021  0.009146         0   0.03936         7       640    0.7688    0.5773    0.6709    0.3666   0.06105   0.01683         0
     74/99     3.19G   0.02724  0.008849         0   0.03609         6       640     0.791    0.5682    0.6737    0.3781   0.06124   0.01677         0
     75/99     3.19G   0.02892  0.008325         0   0.03724         4       640    0.8088    0.5769     0.687    0.3853   0.06026   0.01681         0
     76/99     3.19G   0.02848  0.008979         0   0.03746         7       640    0.7765    0.6182    0.6961    0.4007    0.0597   0.01673         0
     77/99     3.19G   0.02922  0.009387         0   0.03861        19       640    0.8124    0.6318    0.7017    0.4075   0.05954   0.01671         0
     78/99     3.19G   0.02756  0.008861         0   0.03643         9       640    0.8363    0.6045    0.6978    0.4081    0.0595   0.01663         0
     79/99     3.19G   0.02927  0.009447         0   0.03871         4       640    0.8207    0.5864    0.6766    0.3872   0.06018   0.01675         0
     80/99     3.19G   0.02904  0.008866         0   0.03791        13       640    0.8076    0.5727    0.6534    0.3702   0.06053     0.017         0
     81/99     3.19G   0.02807  0.008579         0   0.03665         5       640    0.8547    0.5364    0.6637    0.3825   0.06029   0.01672         0
     82/99     3.19G   0.02705  0.007993         0   0.03504        13       640    0.8417    0.5636    0.6785     0.394   0.06005   0.01648         0
     83/99     3.19G   0.02754  0.008501         0   0.03604         3       640    0.8085    0.5951    0.6847    0.3939   0.05975   0.01651         0
     84/99     3.19G   0.02981  0.009426         0   0.03923        14       640     0.806    0.6044    0.6869    0.3881   0.05983    0.0165         0
     85/99     3.19G   0.02865  0.008017         0   0.03666        28       640    0.7535    0.6409    0.6906     0.402   0.05898   0.01661         0
     86/99     3.19G   0.02784    0.0085         0   0.03634         9       640    0.8035    0.6133    0.6866    0.3924   0.05905   0.01683         0
     87/99     3.19G   0.02795  0.009231         0   0.03718         8       640    0.7683    0.6181    0.6875     0.394   0.05835   0.01695         0
